artistName|artistUri|songName|songUri|songDuration|songPopularity|played_at
Joe Satriani|spotify:artist:2yzxX2DI9LFK8VFTyW2zZ8|Sleep Walk|spotify:track:3k7TZbHpOwbF2bpMwwGHQK|163240|39|2021-04-16T19:21:32.817Z
Eric Johnson|spotify:artist:4CxobvwTpmfpIEbkYh4pAb|Manhattan|spotify:track:21i2hxJAkQCWlSWejTkN0T|292600|45|2021-04-16T19:18:49.078Z
Fleetwood Mac|spotify:artist:08GQAI4eElDnROBrJRGE0X|Dreams - 2004 Remaster|spotify:track:0ofHAoxe9vBkTCp2UQIavz|257800|85|2021-04-16T17:22:22.588Z
Jimi Hendrix|spotify:artist:776Uo845nYHJpNaStv1Ds4|Little Wing|spotify:track:1Eolhana7nKHYpcYpdVcT5|145746|71|2021-04-16T17:18:04.303Z
Neil Young|spotify:artist:6v8FB84lnmJs434UJf2Mrm|Harvest Moon|spotify:track:5l9c6bJmzvftumhz4TMPgk|303213|71|2021-04-16T17:15:38.097Z
Steve Miller Band|spotify:artist:6QtGlUje9TIkLrgPZrESuk|The Joker|spotify:track:1bp2IO61zbQrbWNmKKxg3f|264503|77|2021-04-16T16:49:37.739Z
The Alan Parsons Project|spotify:artist:2m62cc253Xvd9qYQ8d2X3d|Time|spotify:track:48yJZwYYDZX5GKFND7wDfC|314640|56|2021-04-16T16:45:13.231Z
Santana|spotify:artist:6GI52t8N5F02MxU0g5U69P|Hold On|spotify:track:1NZAeh2a8Y6Ry5hGBPGP1e|261026|54|2021-04-16T16:39:58.156Z
Steve Winwood|spotify:artist:5gxynDEKwNDgxGJmJjZyte|While You See A Chance|spotify:track:4JAFyW6oZV6DIADeV619QG|312773|62|2021-04-16T16:35:36.611Z
Rare Earth|spotify:artist:6eEsIl4wosvhuWI0mfXxAF|Get Ready|spotify:track:6pN3ra1mEPtjFsdCvDDHW3|1292293|45|2021-04-16T16:30:23.353Z
Peter Frampton|spotify:artist:0543y7yrvny4KymoaneT4W|Do You Feel Like We Do - Live|spotify:track:1Q3NHMJ6eSJjpRjNObFUJe|836666|39|2021-04-16T16:08:49.625Z
Steve Miller Band|spotify:artist:6QtGlUje9TIkLrgPZrESuk|Rock'n Me|spotify:track:1orVKbp6vqtfAPOmvRofVq|187066|67|2021-04-16T15:54:52.568Z
Jeff Beck|spotify:artist:0AD4odMWVQ2wUSlgxOB5Rl|Cause We've Ended as Lovers|spotify:track:4zoQ3EqopTIGmK2c2rPV5t|342066|56|2021-04-16T15:51:44.969Z
Allman Brothers Band|spotify:artist:4wQ3PyMz3WwJGI5uEqHUVR|Ramblin' Man|spotify:track:5cfYurP1XKldMBtvBBJiTs|288506|71|2021-04-16T15:46:02.413Z
Stealers Wheel|spotify:artist:7bPU7cvfoD20ixGD9Qnqki|Stuck In The Middle With You|spotify:track:3Vby4nGmtbDo7HDJamOWkT|208946|73|2021-04-16T15:41:13.466Z
John Mellencamp|spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH|Cherry Bomb|spotify:track:43oPpqzWPSZmeiwYicmzjG|287106|63|2021-04-16T15:37:43.992Z
Eagles|spotify:artist:0ECwFtbIWEVNwjlrfc6xoL|Life in the Fast Lane - 2013 Remaster|spotify:track:6gXrEUzibufX9xYPk3HD5p|286219|74|2021-04-16T15:32:56.382Z
America|spotify:artist:35U9lQaRWSQISxQAB94Meo|Tin Man|spotify:track:4uTTd2SlalZoG0zVgI63kH|209866|59|2021-04-16T15:28:09.698Z
The Alan Parsons Project|spotify:artist:2m62cc253Xvd9qYQ8d2X3d|I Wouldn't Want to Be Like You|spotify:track:5dbcQ5D5EnBK4mO3Oygzeu|201880|50|2021-04-16T15:24:39.850Z
Tom Petty and the Heartbreakers|spotify:artist:4tX2TplrkIP4v05BNC903e|Refugee|spotify:track:4mcZYzoGwPRDdhWVlygiHf|201693|65|2021-04-16T15:21:16.974Z
Little River Band|spotify:artist:6clbbhnIqpHnqxwtOWcilg|Cool Change - Remastered|spotify:track:1RaUxP6LHVAgbmLOn2naLl|313320|60|2021-04-16T15:17:54.800Z
Allman Brothers Band|spotify:artist:4wQ3PyMz3WwJGI5uEqHUVR|Midnight Rider|spotify:track:1hHGUdFaiJHw9hVZGJWYO2|180066|72|2021-04-16T15:12:40.994Z
Santana|spotify:artist:6GI52t8N5F02MxU0g5U69P|Black Magic Woman - Single Version|spotify:track:4YMQXzscifAREG0a7KNGhB|196466|66|2021-04-16T15:09:40.431Z
Player|spotify:artist:0fgtHVpOPfXb07S8Jx443z|Baby Come Back|spotify:track:41sGGCCoHI2GLV9qadX80A|255845|65|2021-04-16T15:06:23.485Z
